Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
4bit-bnb-eager,Qwen/Qwen1.5-32B,1.398,0.1417267150878906,7.113,119504.251,21184.971,pytorch,float16,BnB.4bit,Eager,No Kernel,Unknown,10.271,70.47,32
4bit-bnb-sdpa,Qwen/Qwen1.5-32B,1.389,0.1306869812011718,7.582,123428.771,21184.84,pytorch,float16,BnB.4bit,SDPA,No Kernel,Unknown,9.698,70.47,32
4bit-awq-gemm-fa2,Qwen/Qwen1.5-32B,2.623,2.46929931640625,0.405,5366.472,21890.218,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Qwen2ForCausalLM,158.201,70.39,32
4bit-awq-gemm-eager,Qwen/Qwen1.5-32B,2.62,2.46706884765625,0.405,5357.35,21890.213,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,158.049,70.39,32
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-32B,2.613,2.460632080078125,0.406,5365.118,21890.218,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,157.641,70.39,32
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-32B,1.487,1.3263912353515626,0.754,9492.1,21326.311,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,85.057,70.39,32
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-32B,1.486,1.3255198974609377,0.754,9503.637,21326.311,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,84.997,70.39,32
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-32B,1.477,1.3011885986328124,0.768,10061.174,21326.312,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,83.455,70.39,32
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-32B,1.476,1.3009254150390626,0.769,10013.194,21326.312,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,83.439,70.39,32
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-32B,1.467,1.300379638671875,0.769,9767.909,21326.311,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,83.396,70.39,32
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-32B,1.467,1.3002578125,0.769,9771.182,21326.311,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,83.388,70.39,32
4bit-bnb-fa2,Qwen/Qwen1.5-32B,1.411,0.1449001007080078,6.878,115470.287,21184.84,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,10.572,70.39,32
4bit-bnb-eager,Qwen/Qwen1.5-32B,1.398,0.1417267150878906,7.113,119504.251,21184.971,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,10.271,70.39,32
4bit-bnb-sdpa,Qwen/Qwen1.5-32B,1.389,0.1306869812011718,7.582,123428.771,21184.84,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,9.698,70.39,32
4bit-awq-gemm-eager,internlm/internlm2-20b,1.596,1.4742733154296874,0.678,9018.305,14169.857,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Unknown,94.475,69.75,20
4bit-awq-gemm-fa2,internlm/internlm2-20b,1.584,1.47182177734375,0.679,9125.542,14170.905,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Unknown,94.313,69.75,20
4bit-gptq-exllama-v2-eager,internlm/internlm2-20b,0.913,0.7875604248046875,1.27,15682.496,13753.433,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Unknown,50.529,69.75,20
4bit-gptq-exllama-v1-eager,internlm/internlm2-20b,0.912,0.78757373046875,1.27,15775.31,13753.433,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Unknown,50.529,69.75,20
4bit-gptq-exllama-v1-fa2,internlm/internlm2-20b,0.903,0.7856434936523438,1.273,15849.582,13753.432,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Unknown,50.399,69.75,20
4bit-gptq-exllama-v2-fa2,internlm/internlm2-20b,0.903,0.78563427734375,1.273,15855.091,13753.432,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Unknown,50.399,69.75,20
8bit-bnb-eager,internlm/internlm2-20b,0.177,0.1368013153076172,7.287,159697.386,22203.773,pytorch,float16,BnB.8bit,Eager,No Kernel,Unknown,8.825,69.75,20
8bit-bnb-fa2,internlm/internlm2-20b,0.166,0.1308805084228515,7.612,167231.112,22195.849,pytorch,float16,BnB.8bit,FAv2,No Kernel,Unknown,8.397,69.75,20
4bit-bnb-eager,internlm/internlm2-20b,0.868,0.0845169296264648,11.738,197205.745,13625.609,pytorch,float16,BnB.4bit,Eager,No Kernel,Unknown,6.209,69.75,20
4bit-bnb-fa2,internlm/internlm2-20b,0.857,0.082898941040039,11.991,203345.334,13625.478,pytorch,float16,BnB.4bit,FAv2,No Kernel,Unknown,6.112,69.75,20
4bit-awq-gemm-eager,01-ai/Yi-34B,2.805,2.64620947265625,0.378,5115.087,20902.144,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,169.522,69.42,34
4bit-awq-gemm-sdpa,01-ai/Yi-34B,2.792,2.637888427734375,0.379,5075.381,20902.143,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,168.991,69.42,34
4bit-awq-gemm-fa2,01-ai/Yi-34B,2.791,2.63752294921875,0.379,5072.79,20902.143,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,168.969,69.42,34
4bit-gptq-exllama-v1-eager,01-ai/Yi-34B,1.579,1.39966162109375,0.714,9017.011,20339.707,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,89.76,69.42,34
4bit-gptq-exllama-v2-eager,01-ai/Yi-34B,1.578,1.3995601806640623,0.714,9277.914,20339.707,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,89.754,69.42,34
4bit-gptq-exllama-v1-sdpa,01-ai/Yi-34B,1.566,1.398877197265625,0.715,9244.372,20339.706,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,89.702,69.42,34
4bit-gptq-exllama-v2-sdpa,01-ai/Yi-34B,1.566,1.3989376220703125,0.715,9276.978,20339.706,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,89.704,69.42,34
4bit-gptq-exllama-v1-fa2,01-ai/Yi-34B,1.564,1.39627001953125,0.716,9325.744,20339.706,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,89.535,69.42,34
4bit-gptq-exllama-v2-fa2,01-ai/Yi-34B,1.564,1.396368408203125,0.716,9320.386,20339.706,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,89.541,69.42,34
4bit-bnb-eager,01-ai/Yi-34B,1.529,0.1288151092529297,7.727,121037.777,20257.332,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,9.665,69.42,34
4bit-bnb-sdpa,01-ai/Yi-34B,1.509,0.1287004089355468,7.835,128547.398,20257.201,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,9.55,69.42,34
4bit-bnb-fa2,01-ai/Yi-34B,1.507,0.1237022705078125,8.024,131518.785,20257.201,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,9.334,69.42,34
4bit-awq-gemm-fa2,Qwen/Qwen1.5-14B,1.1,1.0244464111328124,0.976,12839.791,11686.799,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Qwen2ForCausalLM,65.644,66.7,14
4bit-awq-gemm-fa2,Qwen/Qwen2-beta-14B,1.099,1.0222479248046874,0.978,13071.1,11686.805,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Unknown,65.505,66.7,14
4bit-awq-gemm-eager,Qwen/Qwen1.5-14B,1.098,1.0122936401367189,0.988,12920.85,11686.8,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,64.876,66.7,14
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-14B,1.092,1.0118389892578126,0.988,12900.669,11686.799,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,64.841,66.7,14
4bit-awq-gemm-eager,Qwen/Qwen2-beta-14B,1.097,1.0110596313476563,0.989,13140.614,11686.806,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Unknown,64.797,66.7,14
4bit-awq-gemm-sdpa,Qwen/Qwen2-beta-14B,1.091,1.0104422607421877,0.99,13140.665,11686.805,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Unknown,64.751,66.7,14
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-14B,0.627,0.5497006225585938,1.819,21837.726,11417.443,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,35.263,66.7,14
4bit-gptq-exllama-v1-fa2,Qwen/Qwen2-beta-14B,0.627,0.5496463623046876,1.819,22652.223,11417.443,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Unknown,35.262,66.7,14
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-14B,0.627,0.5492091064453125,1.821,21775.958,11417.443,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,35.233,66.7,14
4bit-gptq-exllama-v2-fa2,Qwen/Qwen2-beta-14B,0.627,0.5489541015625,1.821,23596.042,11417.443,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Unknown,35.218,66.7,14
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-14B,0.623,0.53669677734375,1.863,23598.731,11417.444,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,34.439,66.7,14
4bit-gptq-exllama-v1-eager,Qwen/Qwen2-beta-14B,0.623,0.5366917114257812,1.863,23724.129,11417.444,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Unknown,34.438,66.7,14
4bit-gptq-exllama-v2-eager,Qwen/Qwen2-beta-14B,0.623,0.5367234497070312,1.863,22883.373,11417.444,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Unknown,34.44,66.7,14
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-14B,0.623,0.5365196533203125,1.864,22658.789,11417.444,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,34.427,66.7,14
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-14B,0.617,0.5360609130859375,1.865,22725.609,11417.443,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,34.394,66.7,14
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen2-beta-14B,0.618,0.535973876953125,1.866,22909.913,11417.443,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Unknown,34.387,66.7,14
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-14B,0.617,0.5358714599609375,1.866,22489.665,11417.443,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,34.381,66.7,14
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen2-beta-14B,0.617,0.5359810791015625,1.866,23809.942,11417.443,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Unknown,34.387,66.7,14
8bit-bnb-eager,Qwen/Qwen2-beta-14B,0.145,0.1409515533447265,7.057,165615.534,17162.983,pytorch,float16,BnB.8bit,Eager,No Kernel,Unknown,9.062,66.7,14
8bit-bnb-fa2,Qwen/Qwen2-beta-14B,0.146,0.14030029296875,7.075,166323.697,17162.139,pytorch,float16,BnB.8bit,FAv2,No Kernel,Unknown,9.022,66.7,14
8bit-bnb-fa2,Qwen/Qwen1.5-14B,0.146,0.1396275177001953,7.086,166371.17,17162.139,pytorch,float16,BnB.8bit,FAv2,No Kernel,Qwen2ForCausalLM,9.006,66.7,14
8bit-bnb-eager,Qwen/Qwen1.5-14B,0.145,0.1400893402099609,7.109,167816.277,17162.983,pytorch,float16,BnB.8bit,Eager,No Kernel,Qwen2ForCausalLM,9.004,66.7,14
8bit-bnb-sdpa,Qwen/Qwen2-beta-14B,0.141,0.1380771789550781,7.203,165619.753,17162.139,pytorch,float16,BnB.8bit,SDPA,No Kernel,Unknown,8.876,66.7,14
8bit-bnb-sdpa,Qwen/Qwen1.5-14B,0.14,0.1373491821289062,7.229,168785.9,17162.139,pytorch,float16,BnB.8bit,SDPA,No Kernel,Qwen2ForCausalLM,8.849,66.7,14
4bit-bnb-eager,Qwen/Qwen2-beta-14B,0.589,0.0830351333618164,11.879,228103.32,11093.767,pytorch,float16,BnB.4bit,Eager,No Kernel,Unknown,5.881,66.7,14
4bit-bnb-fa2,Qwen/Qwen2-beta-14B,0.594,0.0839884796142578,11.896,230056.333,11094.619,pytorch,float16,BnB.4bit,FAv2,No Kernel,Unknown,5.888,66.7,14
4bit-bnb-eager,Qwen/Qwen1.5-14B,0.59,0.083607551574707,11.909,227723.823,11093.767,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,5.886,66.7,14
4bit-bnb-fa2,Qwen/Qwen1.5-14B,0.595,0.0826286087036132,12.017,228622.804,11094.619,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,5.828,66.7,14
4bit-bnb-sdpa,Qwen/Qwen2-beta-14B,0.583,0.0791080932617187,12.559,235696.653,11094.619,pytorch,float16,BnB.4bit,SDPA,No Kernel,Unknown,5.592,66.7,14
4bit-bnb-sdpa,Qwen/Qwen1.5-14B,0.584,0.0787333145141601,12.628,235233.096,11094.619,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,5.572,66.7,14
4bit-awq-gemm-eager,stabilityai/stablelm-2-12b,1.017,0.9444280395507813,1.059,14286.452,8715.666,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,StableLmForCausalLM,60.522,63.48,12
4bit-awq-gemm-sdpa,stabilityai/stablelm-2-12b,1.013,0.9401558837890625,1.064,14561.739,8715.665,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,StableLmForCausalLM,60.246,63.48,12
4bit-awq-gemm-fa2,stabilityai/stablelm-2-12b,1.012,0.9387591552734376,1.065,14486.522,8715.665,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,StableLmForCausalLM,60.158,63.48,12
4bit-gptq-exllama-v1-eager,stabilityai/stablelm-2-12b,0.553,0.4788428649902344,2.088,27920.96,8449.786,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,StableLmForCausalLM,30.719,63.48,12
4bit-gptq-exllama-v2-eager,stabilityai/stablelm-2-12b,0.553,0.4789575805664062,2.088,27811.518,8449.786,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,StableLmForCausalLM,30.725,63.48,12
4bit-gptq-exllama-v1-sdpa,stabilityai/stablelm-2-12b,0.548,0.4785172424316406,2.09,27819.005,8449.785,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,StableLmForCausalLM,30.696,63.48,12
4bit-gptq-exllama-v2-sdpa,stabilityai/stablelm-2-12b,0.548,0.4784250793457031,2.09,27906.922,8449.785,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,StableLmForCausalLM,30.689,63.48,12
4bit-gptq-exllama-v1-fa2,stabilityai/stablelm-2-12b,0.547,0.4772515869140625,2.095,27822.08,8449.785,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,StableLmForCausalLM,30.615,63.48,12
4bit-gptq-exllama-v2-fa2,stabilityai/stablelm-2-12b,0.547,0.4772567138671875,2.095,27892.523,8449.785,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,StableLmForCausalLM,30.616,63.48,12
8bit-bnb-eager,stabilityai/stablelm-2-12b,0.23,0.2070210571289062,4.882,122805.465,13522.719,pytorch,float16,BnB.8bit,Eager,No Kernel,StableLmForCausalLM,13.164,63.48,12
8bit-bnb-sdpa,stabilityai/stablelm-2-12b,0.22,0.1941258239746093,5.118,127539.549,13522.717,pytorch,float16,BnB.8bit,SDPA,No Kernel,StableLmForCausalLM,12.499,63.48,12
8bit-bnb-fa2,stabilityai/stablelm-2-12b,0.216,0.1907752990722656,5.221,129730.778,13517.526,pytorch,float16,BnB.8bit,FAv2,No Kernel,StableLmForCausalLM,12.247,63.48,12
4bit-bnb-eager,stabilityai/stablelm-2-12b,0.529,0.1409464263916015,7.113,162765.133,8412.838,pytorch,float16,BnB.4bit,Eager,No Kernel,StableLmForCausalLM,9.38,63.48,12
4bit-bnb-sdpa,stabilityai/stablelm-2-12b,0.524,0.1354219512939453,7.34,165004.775,8412.707,pytorch,float16,BnB.4bit,SDPA,No Kernel,StableLmForCausalLM,9.077,63.48,12
4bit-bnb-fa2,stabilityai/stablelm-2-12b,0.523,0.1333698577880859,7.454,172737.686,8412.707,pytorch,float16,BnB.4bit,FAv2,No Kernel,StableLmForCausalLM,8.926,63.48,12
4bit-awq-gemm-eager,meta-llama/Meta-Llama-3-8B,0.626,0.5866659545898437,1.704,23935.816,6464.048,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,37.588,62.62,8
4bit-awq-gemm-sdpa,meta-llama/Meta-Llama-3-8B,0.622,0.58480126953125,1.709,23763.83,6464.047,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,37.473,62.62,8
4bit-awq-gemm-fa2,meta-llama/Meta-Llama-3-8B,0.623,0.5842933959960938,1.711,23885.586,6464.047,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,37.447,62.62,8
4bit-gptq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B,0.347,0.3009628295898437,3.322,43603.186,6237.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,19.309,62.62,8
4bit-gptq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B,0.347,0.3009228820800781,3.323,44486.145,6237.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,19.306,62.62,8
4bit-gptq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B,0.344,0.300516357421875,3.327,44148.87,6237.472,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,19.277,62.62,8
4bit-gptq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B,0.344,0.3004590148925781,3.328,44374.609,6237.472,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,19.274,62.62,8
4bit-gptq-exllama-v1-fa2,meta-llama/Meta-Llama-3-8B,0.343,0.2999203796386718,3.334,45248.974,6237.472,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,19.24,62.62,8
4bit-gptq-exllama-v2-fa2,meta-llama/Meta-Llama-3-8B,0.343,0.2999183349609375,3.334,44190.986,6237.472,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,19.238,62.62,8
8bit-bnb-eager,meta-llama/Meta-Llama-3-8B,0.12,0.1192325134277343,8.397,201527.922,9462.913,pytorch,float16,BnB.8bit,Eager,No Kernel,LlamaForCausalLM,7.614,62.62,8
8bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B,0.119,0.1133752288818359,8.728,209501.206,9462.913,pytorch,float16,BnB.8bit,SDPA,No Kernel,LlamaForCausalLM,7.345,62.62,8
8bit-bnb-fa2,meta-llama/Meta-Llama-3-8B,0.115,0.1132185592651367,8.772,209190.839,9462.913,pytorch,float16,BnB.8bit,FAv2,No Kernel,LlamaForCausalLM,7.276,62.62,8
4bit-bnb-eager,meta-llama/Meta-Llama-3-8B,0.344,0.0727203826904296,13.838,297730.384,6261.709,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,4.907,62.62,8
4bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B,0.34,0.0661207046508789,15.091,312088.775,6261.578,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,4.518,62.62,8
4bit-bnb-fa2,meta-llama/Meta-Llama-3-8B,0.34,0.065809341430664,15.124,314365.755,6261.578,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,4.506,62.62,8
bfloat16-eager,meta-llama/Meta-Llama-3-8B,0.089,0.0396543998718261,25.21,357782.873,16436.729,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.588,62.62,8
float16-eager,meta-llama/Meta-Llama-3-8B,0.087,0.0395489273071289,25.269,353294.912,16436.729,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.579,62.62,8
bfloat16-sdpa,meta-llama/Meta-Llama-3-8B,0.084,0.0391639022827148,25.513,365955.767,16436.729,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.553,62.62,8
float16-sdpa,meta-llama/Meta-Llama-3-8B,0.084,0.0390942726135253,25.558,361529.564,16436.729,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.548,62.62,8
bfloat16-fa2,meta-llama/Meta-Llama-3-8B,0.083,0.0384204788208007,26.003,373491.234,16436.729,pytorch,bfloat16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.505,62.62,8
float16-fa2,meta-llama/Meta-Llama-3-8B,0.083,0.0383436813354492,26.056,367074.662,16436.729,pytorch,float16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.501,62.62,8
4bit-awq-gemm-eager,meta-llama/Meta-Llama-3-8B,0.626,0.5866659545898437,1.704,23935.816,6464.048,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,37.588,62.35,8
4bit-awq-gemm-sdpa,meta-llama/Meta-Llama-3-8B,0.622,0.58480126953125,1.709,23763.83,6464.047,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,37.473,62.35,8
4bit-awq-gemm-fa2,meta-llama/Meta-Llama-3-8B,0.623,0.5842933959960938,1.711,23885.586,6464.047,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,37.447,62.35,8
4bit-gptq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B,0.347,0.3009628295898437,3.322,43603.186,6237.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,19.309,62.35,8
4bit-gptq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B,0.347,0.3009228820800781,3.323,44486.145,6237.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,19.306,62.35,8
4bit-gptq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B,0.344,0.300516357421875,3.327,44148.87,6237.472,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,19.277,62.35,8
4bit-gptq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B,0.344,0.3004590148925781,3.328,44374.609,6237.472,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,19.274,62.35,8
4bit-gptq-exllama-v1-fa2,meta-llama/Meta-Llama-3-8B,0.343,0.2999203796386718,3.334,45248.974,6237.472,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,19.24,62.35,8
4bit-gptq-exllama-v2-fa2,meta-llama/Meta-Llama-3-8B,0.343,0.2999183349609375,3.334,44190.986,6237.472,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,19.238,62.35,8
8bit-bnb-eager,meta-llama/Meta-Llama-3-8B,0.12,0.1192325134277343,8.397,201527.922,9462.913,pytorch,float16,BnB.8bit,Eager,No Kernel,LlamaForCausalLM,7.614,62.35,8
8bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B,0.119,0.1133752288818359,8.728,209501.206,9462.913,pytorch,float16,BnB.8bit,SDPA,No Kernel,LlamaForCausalLM,7.345,62.35,8
8bit-bnb-fa2,meta-llama/Meta-Llama-3-8B,0.115,0.1132185592651367,8.772,209190.839,9462.913,pytorch,float16,BnB.8bit,FAv2,No Kernel,LlamaForCausalLM,7.276,62.35,8
4bit-bnb-eager,meta-llama/Meta-Llama-3-8B,0.344,0.0727203826904296,13.838,297730.384,6261.709,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,4.907,62.35,8
